Ano; Ativo total; Ativo Circulante; Caixa e equivalentes de caixa; Aplicacoes financeiras; Apl fin avali vlr jus CP; Aplicacoes financeiras avaliadas a valor justo atraves do resultado CP; Titulos para negociacao CP; Titulos designados a valor justo CP; Outros; Aplicacoes financeiras avaliadas a valor justo atraves de outros resultados abrangentes CP; Apl fi aval custo amo CP; Contas a receber CP; Clientes CP; Outras contas a receb CP; Estoques; Ativos Biologicos CP; Impostos a Recuperar; Tributos cor a recuperar; Despesas pagas antecip; Outros ativos circulante; Atvs naocor mant p/venda; Operacoes Descon CP; Outros Ativos; Ativo nao circulante; Realizavel LP; Aplicacao financeira avaliada a valor justo LP; Aplicacoes financeiras avaliadas a valor justo atraves do resultado LP; Titulos designados a valor justo LP; Outros; Aplicacoes financeiras avaliadas a valor justo atraves de outros resultados abrangentes LP; Aplicacao financeira avaliada a custo amortizado LP; Contas a receber LP; Clientes LP; Out contas a cobrar LP; Estoques LP; Ativos Biologicos LP; Impostos Diferidos; IR e contr social difer; Outros; Despesas antecipadas; A receb de partes relaci; de Coligadas; de Controladas; Creditos com controlador; A rec de outr part relac; Outros ativos nao circul; Atv ncor mant p/venda LP; Operacoes Descontin LP; Outros; Investimentos; Inv em subsid e outros; Investim em coligadas; Investim em controladas; Inves em control em conj; Outr invest em empr rela; Propriedades p/ investim; Imobilizado; Em operacao; Arrendado; Imobilizacoes em Curso; Intangiveis liquido; Intangiveis; Contrato de concessao LP; Outros; Goodwill; Passivo e patrimonio liq; Passivo Circulante; Obrig sociais e trabalh; Obrigacoes sociais; Obrigac trabalhistas CP; Fornecedores CP; Nacionais; Estrangeiros; Impostos a pagar; Federais; IR e contrib social a pg; Outros; Estaduais; Municipais; Total empres e financ CP; Financiamento CP; Financ moeda nacion CP; Financ moeda estrg CP; Debentures CP; Financ por arrend financ; Outras obrigacoes CP; Passivos com partes relacionadas CP; A pagar a coligadas CP; A pagar a controladas CP; A pag a controladores CP; A pag a out part rela CP; Outros CP; Dividendos a Pagar CP; Dividendo min obrig a pg; Obr p/pg bas em acoes CP; Outros; Provisoes CP; Prov fis,pre,trab&civ CP; Provisoes Para Impostos; Prov previd e trabalh CP; Provisao por beneficios aos empregados CP; Provisoes civeis CP; Outros; Outras provisoes a curto prazo; Provisoes p/garantias CP; Prov para reestrutur CP; Prov pas ambi e desat CP; Outros; Pa s/at ncor a ve+des CP; Pas s/ ativ ncor a ve CP; Pas s/ativ oper desco CP; Passivo nao circulante; Total empres e financ LP; Financiamento LP; Financ moeda nacion LP; Financ moeda estrg LP; Debentures LP; Financ por arrend fin LP; Outras obrigacoes; Passivos com partes relacionadas LP; A pagar a coligadas LP; A pagar a controladas LP; A pag a controladores LP; A pag a out part rela LP; Outros LP; Obr p/pg bas em acoes LP; Adi p/fut aum d cap pass; Outros; Impostos Diferidos LP; IR e contri social difer; Provisoes LP; Prv fis,pre,trab&civ LP; Provisoes fiscais LP; Prov previd e trabalh LP; Provisao por beneficio a empregados; Provisoes civeis LP; Outros; Outras provisoes a longo prazo; Provisoes p/garantias LP; Prov para reestrutur LP; Prov pas ambi e desat LP; Outros; Pa s/at ncor a ve+des LP; Pas s/ ativ ncor a ve LP; Pas s/ativ oper desco LP; Lucros e receit a apropr; Lucros a apropriar; Receitas a apropriar; Subvenc de invest a apro; Patrim liq consolidado; Part acionistas minorit; Patrimonio liquido; Capital social; Reservas de Capital; Agio na emissao de acoes; Res esp de agio na incor; Alien de bonus de subscr; Opcoes outorgadas; Acoes em tesour (re cap); Adiant p fut aum de cap; Outros; Reservas de Reavaliacao; Reserva de Lucros; Reserva Legal; Reserva Estatutaria; Reserva p/ Contingencias; Reservas de Luc a Realz; Resv de Retencao de Luc; Resv Esp p/ Div nao Dist; Reserva de incen fiscais; Dividendo adicional prop; Acoes em tesour (re luc); Outros; Lucros acumulados; Ajustes de aval patrimon; Ajustes acumul de conver; Outr result abrangentes
2012;1.239.810;511.227;18.132;122.340;122.340;-;-;-;-;-;0;279.657;-;-;0;0;0;0;30.931;60.167;0;0;60.167;728.583;125.797;0;-;-;-;-;0;0;0;0;0;0;11.695;11.695;0;1.337;0;0;0;0;0;112.765;0;0;112.765;228;0;0;0;0;0;228;294.660;250.357;12.706;31.597;307.898;307.898;0;307.898;0;1.239.810;193.312;65.727;17.687;48.040;35.435;35.435;0;24.439;13.278;9.762;3.516;0;11.161;13.856;13.856;13.856;0;0;0;53.855;0;0;0;0;0;53.855;0;26.051;0;27.804;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;339.463;265.868;265.868;265.868;0;0;0;34.748;0;0;0;0;0;34.748;0;0;34.748;1.638;1.638;37.209;23.205;0;0;0;0;23.205;14.004;0;0;0;14.004;0;0;0;0;0;0;0;707.035;0;707.035;366.500;114.298;0;0;0;17.732;0;0;96.566;0;226.237;19.263;0;0;0;218.322;0;0;0;-11.348;0;0;0;0;0
2013;2.138.651;1.270.001;7.132;732.051;732.051;-;-;-;-;-;0;334.632;-;-;0;0;0;0;57.515;138.671;0;0;138.671;868.650;163.507;0;-;-;-;-;0;0;0;0;0;0;16.999;16.999;0;2.554;0;0;0;0;0;143.954;0;0;143.954;228;0;0;0;0;0;228;335.614;303.310;12.767;19.537;369.301;369.301;0;369.301;0;2.138.651;290.109;79.672;23.184;56.488;40.429;40.429;0;35.517;22.305;19.667;2.638;0;13.212;36.692;36.692;36.692;0;0;0;97.799;0;0;0;0;0;97.799;0;58.118;0;39.681;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;330.900;238.214;238.214;238.214;0;0;0;41.845;0;0;0;0;0;41.845;0;0;41.845;8.366;8.366;42.475;28.380;0;0;0;0;28.380;14.095;0;0;0;14.095;0;0;0;0;0;0;0;1.517.642;0;1.517.642;983.835;120.981;0;0;0;24.416;0;0;96.565;0;412.826;31.498;0;0;0;392.676;0;0;0;-11.348;0;0;0;0;0
2014;3.514.186;1.475.750;48.011;667.070;667.070;-;-;-;-;-;0;451.414;-;-;0;0;0;0;66.158;243.097;0;0;243.097;2.038.436;197.069;0;-;-;-;-;0;0;0;0;0;0;31.168;31.168;0;8.805;0;0;0;0;0;157.096;0;0;157.096;228;0;0;0;0;0;228;465.711;436.279;14.337;15.095;1.375.428;1.375.428;0;1.375.428;0;3.514.186;398.765;121.614;30.186;91.428;50.344;50.344;0;44.096;28.188;22.326;5.862;0;15.908;28.464;28.464;28.464;0;0;0;154.247;0;0;0;0;0;154.247;0;101.169;0;53.078;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;722.561;560.709;560.709;560.709;0;0;0;73.590;0;0;0;0;0;73.590;0;0;73.590;46.348;46.348;41.914;26.883;0;0;0;0;26.883;15.031;0;0;0;15.031;0;0;0;0;0;0;0;2.392.860;0;2.392.860;1.026.246;642.736;0;0;0;47.272;0;0;595.464;0;723.878;52.780;0;0;0;695.949;0;0;0;-24.851;0;0;0;0;0
2015;4.360.083;2.118.041;48.410;645.350;645.350;-;-;-;-;-;0;1.078.764;-;-;0;0;0;0;62.176;283.341;0;0;283.341;2.242.042;217.216;0;-;-;-;-;0;0;0;0;0;0;46.693;46.693;0;11.798;0;0;0;0;0;158.725;0;0;158.725;228;0;0;0;0;0;228;535.920;460.886;39.560;35.474;1.488.678;1.488.678;0;1.488.678;0;4.360.083;746.183;122.652;35.914;86.738;59.237;59.237;0;82.349;67.353;60.396;6.957;0;14.996;291.346;291.346;291.346;0;0;0;190.599;512;0;0;512;0;190.087;0;115.111;0;74.976;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;933.308;758.302;758.302;758.302;0;0;0;97.095;0;0;0;0;0;97.095;0;0;97.095;36.078;36.078;41.833;25.274;0;0;0;0;25.274;16.559;0;0;0;16.559;0;0;0;0;0;0;0;2.680.592;0;2.680.592;1.038.082;661.820;0;0;0;66.356;0;0;595.464;0;980.690;77.014;0;0;0;1.041.279;0;0;0;-137.603;0;0;0;0;0
2016;4.141.152;1.453.695;58.340;345.669;345.669;-;-;-;-;-;0;847.282;-;-;0;0;0;0;36.390;166.014;0;0;166.014;2.687.457;597.677;0;-;-;-;-;0;0;0;0;0;0;58.752;58.752;0;5.689;0;0;0;0;0;533.236;0;0;533.236;228;0;0;0;0;0;228;620.060;537.640;63.485;18.935;1.469.492;1.469.492;0;1.469.492;0;4.141.152;937.314;155.233;32.772;122.461;66.138;66.138;0;66.910;54.702;48.510;6.192;0;12.208;468.114;468.114;468.114;0;0;0;180.919;633;0;0;633;0;180.286;0;87.439;0;92.847;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;769.165;554.419;554.419;554.419;0;0;0;103.949;0;0;0;0;0;103.949;0;0;103.949;23.604;23.604;87.193;64.880;0;0;0;0;64.880;22.313;0;0;0;22.313;0;0;0;0;0;0;0;2.434.673;0;2.434.673;1.103.966;661.123;0;0;0;65.659;0;0;595.464;0;669.584;93.199;0;0;0;722.815;0;0;0;-146.430;0;0;0;0;0
2017;4.021.095;1.663.480;13.996;510.450;510.450;-;-;-;-;-;0;991.404;-;-;0;0;0;0;6.544;141.086;0;0;141.086;2.357.615;334.763;0;-;-;-;-;0;0;0;0;0;0;70.617;70.617;0;5.105;0;0;0;0;0;259.041;0;0;259.041;228;0;0;0;0;0;228;602.416;556.683;39.074;6.659;1.420.208;1.420.208;0;1.420.208;0;4.021.095;842.944;158.640;31.742;126.898;70.923;70.923;0;81.089;65.789;57.727;8.062;0;15.300;349.274;349.274;349.274;0;0;0;183.018;0;0;0;0;0;183.018;0;100.846;0;82.172;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;400.894;218.047;218.047;218.047;0;0;0;60.190;0;0;0;0;0;60.190;0;0;60.190;14.177;14.177;108.480;86.284;0;0;0;0;86.284;22.196;0;0;0;22.196;0;0;0;0;0;0;0;2.777.257;0;2.777.257;1.103.966;663.981;0;0;0;73.211;0;0;590.770;0;1.009.310;114.429;0;0;0;1.025.335;0;0;0;-130.454;0;0;0;0;0
2018;4.102.463;1.550.627;13.686;804.360;804.360;804.360;0;0;804.360;0;0;571.854;571.854;0;0;0;0;0;6.034;154.693;0;0;154.693;2.551.836;476.683;0;0;0;0;0;0;0;0;0;0;0;136.576;136.576;0;5.519;0;0;0;0;0;334.588;0;0;334.588;228;0;0;0;0;0;228;661.105;612.548;34.172;14.385;1.413.820;1.413.820;0;1.413.820;0;4.102.463;1.289.100;133.654;31.784;101.870;105.812;105.812;0;39.151;20.816;14.349;6.467;0;18.335;795.789;795.789;795.789;0;0;0;214.694;0;0;0;0;0;214.694;0;153.168;0;61.526;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;221.954;21.426;21.426;21.426;0;0;0;41.474;0;0;0;0;0;41.474;0;0;41.474;5.186;5.186;153.868;126.917;0;0;0;0;126.917;26.951;0;0;0;26.951;0;0;0;0;0;0;0;2.591.409;0;2.591.409;1.113.035;668.370;0;0;0;80.889;0;0;587.481;0;810.004;146.672;0;0;0;869.973;0;0;0;-206.641;0;0;0;0;0
2019;5.512.492;1.475.684;12.251;596.861;596.861;596.861;0;0;596.861;0;0;759.622;759.622;0;0;0;0;0;7.034;99.916;0;0;99.916;4.036.808;693.832;0;0;0;0;0;0;0;0;0;0;0;163.025;163.025;0;4.758;0;0;0;0;0;526.049;0;0;526.049;338;0;0;0;0;0;338;1.732.222;706.740;983.692;41.790;1.610.416;1.610.416;0;1.610.416;0;5.512.492;674.870;136.432;31.897;104.535;126.651;126.651;0;39.767;22.450;14.998;7.452;0;17.317;170.054;170.054;170.054;0;0;0;201.966;0;0;0;0;0;201.966;0;153.463;0;48.503;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.735.270;1.481.598;1.481.598;-;-;0;0;104.897;0;0;0;0;0;104.897;0;0;104.897;2.889;2.889;145.886;118.416;0;0;0;0;118.416;27.470;0;0;0;27.470;0;0;0;0;0;0;0;3.102.352;0;3.102.352;1.113.035;674.021;0;0;0;89.395;0;0;584.626;0;1.315.296;178.980;0;0;0;1.330.347;0;0;0;-194.031;0;0;0;0;0
2020;9.265.266;2.736.397;28.407;1.604.869;1.604.869;1.604.869;0;0;1.604.869;0;0;890.151;890.151;0;0;0;0;0;8.178;204.792;0;0;204.792;6.528.869;890.948;0;0;0;0;0;0;0;0;0;0;0;326.769;326.769;0;4.058;0;0;0;0;0;560.121;0;0;560.121;338;0;0;0;0;0;338;2.451.044;1.135.935;1.253.657;61.452;3.186.539;3.186.539;0;3.186.539;0;9.265.266;1.292.768;202.157;23.262;178.895;251.229;251.229;0;110.238;83.611;57.008;26.603;0;26.627;589.851;390.302;182.189;208.113;0;199.549;139.293;0;0;0;0;0;139.293;0;23.355;0;115.938;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.767.529;4.265.223;3.113.448;2.332.977;780.471;0;1.151.775;161.697;0;0;0;0;0;161.697;0;0;161.697;4.137;4.137;336.472;246.842;0;0;0;0;246.842;89.630;0;0;0;89.630;0;0;0;0;0;0;0;3.204.969;0;3.204.969;1.113.035;687.503;0;0;0;103.702;0;0;583.801;0;1.404.431;183.889;0;0;0;1.281.878;0;0;118.423;-179.759;0;0;0;0;0
2021;9.897.795;2.973.560;905.461;908.779;908.779;908.779;0;0;908.779;0;0;957.746;957.746;0;0;0;0;0;10.140;191.434;0;0;191.434;6.924.235;880.366;0;0;0;0;0;0;0;0;0;0;0;356.104;356.104;0;8.044;0;0;0;0;0;516.218;0;0;516.218;338;0;0;0;0;0;338;2.534.968;1.174.010;1.296.980;63.978;3.508.563;3.508.563;0;3.508.563;0;9.897.795;1.865.939;206.131;41.785;164.346;183.529;183.529;0;109.961;79.768;55.713;24.055;0;30.193;1.194.397;972.835;968.845;3.990;0;221.562;171.921;0;0;0;0;0;171.921;0;37.596;0;134.325;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4.790.272;4.312.678;3.089.359;2.641.759;447.600;0;1.223.319;165.103;0;0;0;0;0;165.103;0;0;165.103;0;0;312.491;221.474;0;0;0;0;221.474;91.017;0;0;0;91.017;0;0;0;0;0;0;0;3.241.584;0;3.241.584;1.113.035;702.654;0;0;0;119.331;0;0;583.323;0;1.425.895;191.798;0;0;0;1.394.575;0;0;0;-160.478;0;0;0;0;0
